local;oaci;iata;tipo;denominacion;coordenadas;latitud;longitud;elev;uom_elev;ref;distancia_ref;direccion_ref;condicion;control;region;fir;uso;trafico;sna;concesionado;provincia;inhab
ARB;;;Aeródromo;ARRIBEÑOS;"34°13'19""S  61°23'12""W";-61.38666667;-34.22194444;82.00;Metros;Arribeños;3.3;SO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
ARS;SAVR;ARR;Aeródromo;"ALTO RÍO SENGUERR/D. C. SZLAPELIS";"45° 0'48""S  70°48'46""W";-70.81282000;-45.01320000;697.00;Metros;"Alto Río Senguerr";3.0;N;PUBLICO;AERADIO;RASU;SACF;CIVIL;Nacional;NO;NO;CHUBUT;NO
ARY;;;Aeródromo;ARROYITO/ARCOR;"31°25'20""S  63° 0'18""W";-63.00500000;-31.42222222;148.00;Metros;Arroyito;4.0;E;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
ATE;;;Aeródromo;ZÁRATE;"34° 7' 6""S  59° 4'58""W";-59.08266000;-34.11829000;26.00;Metros;Zárate;6.0;SO;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
ATN;;;Aeródromo;"TRENQUE LAUQUEN/LA ARGENTINA";"35°59'52""S  62°42'23""W";-62.70635000;-35.99773000;95.00;Metros;"Trenque Lauquen";2.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
AUL;;;Aeródromo;"AMEGHINO/AUGUSTO LEGUIZAMÓN";"34°49' 5""S  62°28'38""W";-62.47709000;-34.81797000;109.00;Metros;"Florentino Ameghino";3.0;NNO;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
AVA;;;Aeródromo;"ALVEAR/AEROPARQUE ROSARIO";"33° 2'49""S  60°35'51""W";-60.59756000;-33.04691000;26.00;Metros;Alvear;2.5;ENE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
AVL;;;Aeródromo;"AVELLANEDA/PRESIDENTE AVELLANEDA";"29° 6'22""S  59°39'27""W";-59.65750000;-29.10611111;45.00;Metros;Avellaneda;1.0;N;PUBLICO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
AYA;;;Aeródromo;AYACUCHO;"37° 9'45""S  58°28'23""W";-58.47305556;-37.16250000;77.00;Metros;Ayacucho;0.9;SE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BAD;;;Aeródromo;"BERÓN DE ASTRADA/DINALUCA S.A.";"27°22'58""S  57°38'39""W";-57.64416667;-27.38277778;67.00;Metros;"Berón de Astrada";21.0;NNO;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
BAI;;;Aeródromo;"LAGO BUENOS AIRES";"46°34'34""S  70°56'53""W";-70.94805556;-46.57611111;387.00;Metros;"Perito Moreno";2.5;NNO;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"SANTA CRUZ";NO
BAL;;;Aeródromo;BALCARCE;"37°54'55""S  58°20'37""W";-58.34361111;-37.91527778;120.00;Metros;Balcarce;12.0;S;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BAR;SAZS;BRC;Aeródromo;"SAN CARLOS DE BARILOCHE";"41° 9' 4""S  71° 9'28""W";-71.15777778;-41.15111111;846.00;Metros;"San Carlos de Bariloche";13.0;E;PUBLICO;CONTROL;RACE;SAEF;;Internacional;SI;SI;"RÍO NEGRO";NO
BAS;;;Aeródromo;BASAVILBASO;"32°21'42""S  58°52'54""W";-58.88160000;-32.36160000;60.00;Metros;Basavilbaso;1.0;NO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
BCA;SAZB;BHI;Aeródromo;"BAHÍA BLANCA/COMANDANTE ESPORA";"38°43'39""S  62° 9'12""W";-62.15333333;-38.72750000;75.00;Metros;"Bahía Blanca";10.0;E;PUBLICO;CONTROL;RACE;SAEF;JOINT;Nacional;SI;NO;"BUENOS AIRES";NO
BDO;;;Aeródromo;BARADERO;"33°49'16""S  59°29'34""W";-59.49279000;-33.82122000;29.00;Metros;Baradero;1.5;NO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BDR;;;Aeródromo;"BAHÍA DORADA";"41°50'34""S  65° 4'56""W";-65.08222222;-41.84277778;36.00;Metros;"Sierra Grande";35.0;SE;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
BEL;;;Aeródromo;"BELL VILLE";"32°39'30""S  62°42' 7""W";-62.70194444;-32.65833333;131.00;Metros;"Bell Ville";2.5;SSO;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
BEX;;;Aeródromo;BARADERO;"33°51'31""S  59°28' 9""W";-59.46911000;-33.85864000;26.00;Metros;"Pueblo Alsina";9.0;NO;PRIVADO;NOCONTROL;RACE;SAEF;ULM;Nacional;NO;NO;"BUENOS AIRES";NO
BHB;;;Aeródromo;"BAHÍA BLANCA/AEROCLUB";"38°40'19""S  62°21' 9""W";-62.35250000;-38.67194444;15.00;Metros;"Bahía Blanca";9.0;NO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BHT;;;Aeródromo;"BRAGADO/HARAS TRELLIRIS";"35°19'53""S  60°34'44""W";-60.57884000;-35.33147000;60.00;Metros;Bragado;12.0;S;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BIO;SAWT;RYO;Aeródromo;"EL TURBIO/28 DE NOVIEMBRE";"51°36'18""S  72°13'13""W";-72.22034000;-51.60502000;273.00;Metros;"El Turbio";10.0;ONO;PUBLICO;AERADIO;RASU;SAVF;CIVIL;Nacional;SI;NO;"SANTA CRUZ";NO
BLA;;;Aeródromo;"BALCARCE/EA. LA ALBORADA";"37°27'46""S  58°11'18""W";-58.18833333;-37.46277778;64.00;Metros;Balcarce;43.0;NNE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BLC;;;Aeródromo;"BALCARCE/EA. LOS CARDOS";"37°44' 7""S  58° 2'18""W";-58.03821000;-37.73529000;120.00;Metros;Balcarce;21.0;NE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BLE;;;Aeródromo;"BALCARCE/EA. LA ESTRELLA";"37°33'34""S  58°39'58""W";-58.66611111;-37.55944444;139.00;Metros;Balcarce;53.0;N;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BLL;;;Aeródromo;"MIRAMAR/LAS CORTADERAS";"38°21'17""S  58° 6'31""W";-58.10861111;-38.35472222;16.00;Metros;Mechongue;25.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
BLN;;;Aeródromo;LONDRES/BELÉN;"27°42'29""S  67° 5'42""W";-67.09500000;-27.70805556;1200.00;Metros;Belén;2.0;NE;PRIVADO;NOCONTROL;RANO;SACF;;Nacional;NO;NO;CATAMARCA;NO
BLR;SAZI;;Aeródromo;BOLIVAR;"36°11'12""S  61° 4'33""W";-61.07583333;-36.18666667;94.00;Metros;"San Carlos de Bolivar";6.0;NNE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BMO;;;Aeródromo;BRAGADO/MALFATO;"35° 9' 6""S  60°30'20""W";-60.50555556;-35.15166667;57.00;Metros;Bragado;4.0;SO;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
BOE;;;Aeródromo;MORTEROS/AEROBOERO;"30°43'51""S  62° 0'29""W";-62.00809000;-30.73091000;96.00;Metros;Morteros;1.0;S;PUBLICO;NOCONTROL;RANO;SACF;;Nacional;NO;NO;CÓRDOBA;NO
BOG;;;Aeródromo;"CORONEL BOGADO/FUMIGACIONES CAMPAGNUCCI";"33°19'27""S  60°39'58""W";-60.66617000;-33.32404000;48.00;Metros;"Coronel Bogado";6.0;O;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
BOL;SAVB;EHL;Aeródromo;"EL BOLSÓN";"41°56'36""S  71°31'56""W";-71.53215000;-41.94323000;348.00;Metros;"El Bolsón";0.0;Lindando;PUBLICO;AERADIO;RASU;SAVF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
BOM;;;Aeródromo;"BOMBAL/GRAN ANCONA";"33°26'19""S  61°18'12""W";-61.30323000;-33.43852000;97.00;Metros;Bombal;3.0;NE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
BOS;;;Aeródromo;LOBOS;"35°12'39""S  59° 8'12""W";-59.13666667;-35.21083333;29.00;Metros;Lobos;3.0;SO;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
BPS;;;Aeródromo;"BRINKMANN/PABLO SIERRA AEROAPLICACIONES";"30°55'46""S  62° 3' 2""W";-62.05055556;-30.92944444;100.00;Metros;Brinckmann;6.5;SSO;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
BRA;;;Aeródromo;BRAGADO;"35° 8'43""S  60°28'55""W";-60.48194444;-35.14527778;60.00;Metros;Bragado;2.0;SSE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BRF;;;Aeródromo;"BAHÍA BLANCA/LA REFORMA";"38°43'50""S  63°17'14""W";-63.28722000;-38.73050000;67.00;Metros;"Bahía Blanca";88.0;O;PRIVADO;NOCONTROL;RASU;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
BRQ;;;Aeródromo;"BUTA RANQUIL/EL PORTÓN";"37°11'42""S  69°36'35""W";-69.60972222;-37.19500000;870.00;Metros;"Buta Ranquil";22.0;SE;PRIVADO;NOCONTROL;RACE;SAMF;CIVIL;Nacional;NO;NO;NEUQUÉN;NO
BTA;;;Aeródromo;"BELLA VISTA";"28°31'34""S  59° 2'17""W";-59.03805556;-28.52611111;55.00;Metros;"Bella Vista";0.0;Lindando;PUBLICO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
BTS;;;Aeródromo;"CORRAL DE BUSTOS";"33°16'53""S  62° 9' 5""W";-62.15138889;-33.28138889;120.00;Metros;"Corral de Bustos";2.0;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
CAF;;;Aeródromo;CAFAYATE;"26° 3'51""S  65°55'50""W";-65.93055556;-26.06416667;1639.00;Metros;Cafayate;1.0;NO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;SALTA;NO
CAL;;;Aeródromo;"CAMPO ARENAL";"27° 4'20""S  66°35'11""W";-66.58638889;-27.07222222;2324.00;Metros;"Santa María";58.0;SO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CATAMARCA;NO
CAM;;;Aeródromo;"CORRALITO/ALFONSO MENGO";"32° 1'28""S  64°16'46""W";-64.27944444;-32.02444444;545.00;Metros;Corralito;7.0;O;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
CAT;SANC;CTC;Aeródromo;CATAMARCA;"28°35'35""S  65°45' 4""W";-65.75111111;-28.59305556;464.00;Metros;"San Fernando del Valle de Catamarca";15.0;SSE;PUBLICO;CONTROL;RANO;SACF;CIVIL;Nacional;SI;SI;CATAMARCA;NO
CAY;;;Aeródromo;"SAN CAYETANO";"38°20' 2""S  59°37'49""W";-59.63027778;-38.33388889;100.00;Metros;"San Cayetano";1.5;ONO;PRIVADO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
CBA;SACO;COR;Aeródromo;"CÓRDOBA/ING. AER. A. L. V. TARAVELLA";"31°18'36""S  64°12'30""W";-64.20833333;-31.31000000;489.00;Metros;Córdoba;9.0;NNO;PUBLICO;CONTROL;RANO;SACF;CIVIL;Internacional;SI;SI;CÓRDOBA;NO
CBB;;;Aeródromo;"CAÑADA ROSQUIN/ByB SERVICIOS AGROPECUARIOS";"32° 6'42""S  61°37'55""W";-61.63196000;-32.11159000;73.00;Metros;"Cañada Rosquín";7.0;SSO;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
CBD;;;Aeródromo;CABILDO;"38°29'55""S  61°53' 3""W";-61.88416667;-38.49861111;159.00;Metros;Cabildo;1.5;SE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CCA;SATU;UZU;Aeródromo;"CURUZÚ CUATIÁ";"29°46'21""S  57°58'58""W";-57.98277778;-29.77250000;70.00;Metros;"Curuzú Cuatiá";4.0;ENE;PUBLICO;AERADIO;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
CCH;;;Aeródromo;"CARLOS CASARES/HAYDEE";"35°40'12""S  61°24'20""W";-61.40552500;-35.66989450;82.00;Metros;"Carlos Casares";6.0;SW;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CCI;;;Aeródromo;CALCHAQUÍ;"29°51' 6""S  60°17'31""W";-60.29201667;-29.85157222;56.00;Metros;Calchaquí;4.0;N;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
CCM;;;Aeródromo;"CARLOS CASARES/MALATINI";"35°34' 9""S  61°22' 6""W";-61.36821000;-35.56915000;82.00;Metros;"Carlos Casares";6.0;N;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
CCO;;;Aeródromo;"CARLOS CASARES/OTTAVIANI";"35°38'53""S  61°21' 1""W";-61.35038000;-35.64817000;82.00;Metros;"Carlos Casares";2.0;SSE;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
CCP;;;Aeródromo;CONCEPCIÓN;"27°20'41""S  65°37' 1""W";-65.61694444;-27.34472222;386.00;Metros;Concepción;2.4;O;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;TUCUMÁN;NO
CCS;;;Aeródromo;CACHI;"25° 6'19""S  66° 9'26""W";-66.15720000;-25.10518000;2510.00;Metros;Cachi;2.0;NO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;SALTA;NO
CDA;;;Aeródromo;"SARGENTO CABRAL/CONDOR DEL AIRE";"33°27'57""S  60°37'43""W";-60.62857000;-33.46586000;56.00;Metros;"Sargento Cabral";4.0;S;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
CDI;;;Aeródromo;"CARCARAÑÁ/DI GIUSEPPE";"32°53'28""S  61° 7'27""W";-61.12414000;-32.89099000;89.00;Metros;Carcarañá;5.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
CDL;;;Aeródromo;"CAÑADA DE LUQUE/BIONDI";"30°45'28""S  63°44'53""W";-63.74818000;-30.75769000;249.00;Metros;"Cañada de Luque";3.0;SW;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
CDS;;;Aeródromo;"CAÑADÓN SECO";"46°32'17""S  67°33'35""W";-67.55972222;-46.53805556;90.00;Metros;"Cañadón Seco";5.0;NE;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"SANTA CRUZ";NO
CDU;;;Aeródromo;"CONCEPCIÓN DEL URUGUAY";"32°27'18""S  58°18'24""W";-58.30666667;-32.45500000;34.00;Metros;"Concepción del Uruguay";8.0;NO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
CED;;;Aeródromo;MERCEDES;"33°38'32""S  65°25'14""W";-65.42051000;-33.64220000;515.00;Metros;"Villa Mercedes";3.0;NE;PUBLICO;NOCONTROL;RANO;SAMF;;Nacional;NO;NO;"SAN LUIS";NO
CEJ;;;Aeródromo;"LAS CEJAS/AGROALAS SRL";"26°52'11""S  64°44'45""W";-64.74583333;-26.86972222;346.00;Metros;"Las Cejas";2.0;NNO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;TUCUMÁN;NO
CFU;;;Aeródromo;CARHUE/FUMAGRO;"37°12'53""S  62°46'50""W";-62.78055556;-37.21472222;111.00;Metros;Carhué;5.0;SO;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
CHA;;;Aeródromo;CHARATA;"27°12'59""S  61°12'36""W";-61.21011000;-27.21639000;92.00;Metros;Charata;10.0;S;PUBLICO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CHACO;NO
CHC;;;Aeródromo;"CHAJARI/EA. LA CHOZA";"30°32'20""S  58°17'34""W";-58.29287000;-30.53899000;72.00;Metros;Chajarí;39.0;NO;PRIVADO;NOCONTROL;RACE;SARR;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
CHJ;;;Aeródromo;CHAJARI;"30°45'14""S  58° 0' 0""W";-58.00002000;-30.75390000;53.00;Metros;Chajarí;1.5;O;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
CHM;SAHC;HOS;Aeródromo;"CHOS MALAL";"37°26'39""S  70°13'23""W";-70.22305556;-37.44416667;850.00;Metros;"Chos Malal";10.0;S;PUBLICO;NOCONTROL;RACE;SAMF;CIVIL;Nacional;NO;NO;NEUQUÉN;NO
CHO;;;Aeródromo;CHOLILA;"42°28'50""S  71°27'25""W";-71.45682000;-42.48060000;574.00;Metros;Cholila;4.0;NO;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;CHUBUT;NO
CHP;SAZY;CPC;Aeródromo;"SAN MARTÍN DE LOS ANDES/AVIADOR C. CAMPOS";"40° 4'31""S  71° 8'14""W";-71.13722222;-40.07527778;783.00;Metros;"San Martín de los Andes";20.0;ENE;PUBLICO;CONTROL;RACE;SAEF;CIVIL;Nacional;SI;SI;NEUQUÉN;NO
CHR;;;Aeródromo;CHACHARRAMENDI;"37°20'24""S  65°38'49""W";-65.64701000;-37.34005000;290.00;Metros;Chacharramendi;0.5;SE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"LA PAMPA";NO
CHT;;;Aeródromo;"CHARATA/EL GRINGO";"27°18'23""S  61°12'37""W";-61.21041000;-27.30629000;92.00;Metros;Charata;10.0;S;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CHACO;NO
CHY;;;Aeródromo;CHIVILCOY;"34°57'45""S  60° 1'56""W";-60.03222222;-34.96250000;53.00;Metros;Chivilcoy;7.0;S;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CIF;;;Aeródromo;ARRECIFES/AEROCLUB;"34° 4'43""S  60° 2'46""W";-60.04602000;-34.07849000;43.00;Metros;Arrecifes;4.5;ESE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CII;;;Aeródromo;"CORRIENTES/ITA IBATE";"27°26'54""S  57°25'20""W";-57.42222222;-27.44833333;68.00;Metros;"Ita Ibate";8.0;OSO;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
CIP;;;Aeródromo;CIPOLLETTI/AEROCLUB;"38°53'34""S  67°59'20""W";-67.98888889;-38.89277778;270.00;Metros;Cipolletti;5.5;N;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
CIT;;;Aeródromo;CORRIENTES/ITATI;"27°18'12""S  58°18'55""W";-58.31527778;-27.30333333;60.00;Metros;Itatí;8.0;OSO;PRIVADO;NOCONTROL;RANE;SARR;AEROAPP;Nacional;NO;NO;CORRIENTES;NO
CLD;;;Aeródromo;"CHAÑAR LADEADO";"33°20'21""S  62° 2'13""W";-62.03693000;-33.33910000;112.00;Metros;"Chañar Ladeado";0.0;Lindando;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
CLE;;;Aeródromo;"CORRALITO/LOMAS DEL ESPINILLO";"32° 5'17""S  64°10'11""W";-64.16972222;-32.08805556;439.50;Metros;"Río Tercero";9.0;NNO;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
